title,filepath,neg_caption,neg_image
The pink bowl is to the right of the yellow bowl.,images/step426.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[4475]
The pink bowl is to the right of the small pot.,images/step44.camera_0.png,['The small pot is to the right of the pink bowl.'],[1044]
The small pot is to the right of the pink bowl.,images/step159.camera_0.png,['The pink bowl is to the right of the small pot.'],[1313]
The pink bowl is to the right of the small pot.,images/step422.camera_0.png,['The small pot is to the right of the pink bowl.'],[2082]
The small pot is to the right of the green cup.,images/step334.camera_0.png,['The green cup is to the right of the small pot.'],[3408]
The green cup is to the right of the small pot.,images/step488.camera_0.png,['The small pot is to the right of the green cup.'],[4411]
The small pot is to the left of the green cup.,images/step415.camera_0.png,['The green cup is to the left of the small pot.'],[3756]
The pink bowl is to the left of the green cup.,images/step489.camera_0.png,['The green cup is to the left of the pink bowl.'],[821]
The pink bowl is to the right of the small pot.,images/step191.camera_0.png,['The small pot is to the right of the pink bowl.'],[3704]
The small pot is to the left of the pink bowl.,images/step585.camera_0.png,['The pink bowl is to the left of the small pot.'],[4250]
The pink bowl is to the left of the small pot.,images/step488.camera_0.png,['The small pot is to the left of the pink bowl.'],[4456]
The small pot is to the left of the yellow bowl.,images/step353.camera_0.png,['The yellow bowl is to the left of the small pot.'],[3832]
The pink bowl is to the right of the yellow bowl.,images/step139.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[945]
The pink bowl is to the left of the small pot.,images/step363.camera_0.png,['The small pot is to the left of the pink bowl.'],[428]
The small pot is to the left of the green cup.,images/step10.camera_0.png,['The green cup is to the left of the small pot.'],[3988]
The green cup is to the left of the yellow bowl.,images/step444.camera_0.png,['The yellow bowl is to the left of the green cup.'],[7554]
The yellow bowl is behind the small pot.,images/step390.camera_0.png,['The small pot is behind the yellow bowl.'],[3628]
The small pot is to the left of the yellow bowl.,images/step287.camera_0.png,['The yellow bowl is to the left of the small pot.'],[2693]
The yellow bowl is to the left of the green cup.,images/step205.camera_0.png,['The green cup is to the left of the yellow bowl.'],[1659]
The small pot is in front of the green cup.,images/step292.camera_0.png,['The green cup is in front of the small pot.'],[7068]
The pink bowl is to the right of the small pot.,images/step196.camera_0.png,['The small pot is to the right of the pink bowl.'],[6838]
The green cup is to the left of the small pot.,images/step696.camera_0.png,['The small pot is to the left of the green cup.'],[1153]
The small pot is to the left of the green cup.,images/step359.camera_0.png,['The green cup is to the left of the small pot.'],[2498]
The green cup is to the right of the yellow bowl.,images/step40.camera_0.png,['The yellow bowl is to the right of the green cup.'],[1115]
The green cup is to the right of the small pot.,images/step19.camera_0.png,['The small pot is to the right of the green cup.'],[7170]
The yellow bowl is to the left of the pink bowl.,images/step29.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[3092]
The pink bowl is to the left of the small pot.,images/step154.camera_0.png,['The small pot is to the left of the pink bowl.'],[7153]
The yellow bowl is to the right of the green cup.,images/step130.camera_0.png,['The green cup is to the right of the yellow bowl.'],[1956]
The small pot is to the left of the green cup.,images/step762.camera_0.png,['The green cup is to the left of the small pot.'],[4729]
The small pot is to the left of the yellow bowl.,images/step754.camera_0.png,['The yellow bowl is to the left of the small pot.'],[3635]
The yellow bowl is to the right of the small pot.,images/step311.camera_0.png,['The small pot is to the right of the yellow bowl.'],[5612]
The green cup is to the right of the small pot.,images/step186.camera_0.png,['The small pot is to the right of the green cup.'],[3378]
The yellow bowl is to the left of the small pot.,images/step622.camera_0.png,['The small pot is to the left of the yellow bowl.'],[6462]
The pink bowl is to the left of the small pot.,images/step791.camera_0.png,['The small pot is to the left of the pink bowl.'],[3928]
The small pot is to the right of the pink bowl.,images/step66.camera_0.png,['The pink bowl is to the right of the small pot.'],[285]
The pink bowl is to the right of the small pot.,images/step521.camera_0.png,['The small pot is to the right of the pink bowl.'],[4798]
The small pot is behind the pink bowl.,images/step641.camera_0.png,['The pink bowl is behind the small pot.'],[3952]
The green cup is to the right of the small pot.,images/step284.camera_0.png,['The small pot is to the right of the green cup.'],[7688]
The yellow bowl is to the right of the small pot.,images/step354.camera_0.png,['The small pot is to the right of the yellow bowl.'],[5170]
The small pot is behind the pink bowl.,images/step709.camera_0.png,['The pink bowl is behind the small pot.'],[855]
The pink bowl is to the right of the small pot.,images/step300.camera_0.png,['The small pot is to the right of the pink bowl.'],[3144]
The small pot is in front of the yellow bowl.,images/step405.camera_0.png,['The yellow bowl is in front of the small pot.'],[145]
The small pot is to the right of the green cup.,images/step122.camera_0.png,['The green cup is to the right of the small pot.'],[6713]
The pink bowl is to the right of the yellow bowl.,images/step176.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[2285]
The green cup is to the left of the pink bowl.,images/step678.camera_0.png,['The pink bowl is to the left of the green cup.'],[7559]
The yellow bowl is to the left of the pink bowl.,images/step45.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[1339]
The yellow bowl is to the left of the small pot.,images/step286.camera_0.png,['The small pot is to the left of the yellow bowl.'],[1955]
The green cup is to the left of the small pot.,images/step688.camera_0.png,['The small pot is to the left of the green cup.'],[6724]
The yellow bowl is to the right of the green cup.,images/step312.camera_0.png,['The green cup is to the right of the yellow bowl.'],[2736]
The green cup is to the left of the yellow bowl.,images/step238.camera_0.png,['The yellow bowl is to the left of the green cup.'],[3274]
The yellow bowl is to the right of the small pot.,images/step585.camera_0.png,['The small pot is to the right of the yellow bowl.'],[6463]
The small pot is to the left of the green cup.,images/step700.camera_0.png,['The green cup is to the left of the small pot.'],[891]
The pink bowl is to the left of the small pot.,images/step138.camera_0.png,['The small pot is to the left of the pink bowl.'],[3967]
The small pot is to the left of the green cup.,images/step716.camera_0.png,['The green cup is to the left of the small pot.'],[6219]
The yellow bowl is to the left of the small pot.,images/step613.camera_0.png,['The small pot is to the left of the yellow bowl.'],[4348]
The green cup is to the right of the small pot.,images/step141.camera_0.png,['The small pot is to the right of the green cup.'],[2987]
The small pot is to the left of the yellow bowl.,images/step93.camera_0.png,['The yellow bowl is to the left of the small pot.'],[609]
The green cup is in front of the pink bowl.,images/step733.camera_0.png,['The pink bowl is in front of the green cup.'],[1924]
The green cup is to the left of the yellow bowl.,images/step455.camera_0.png,['The yellow bowl is to the left of the green cup.'],[7498]
The green cup is to the right of the pink bowl.,images/step225.camera_0.png,['The pink bowl is to the right of the green cup.'],[2420]
The small pot is to the left of the pink bowl.,images/step394.camera_0.png,['The pink bowl is to the left of the small pot.'],[7724]
The yellow bowl is to the left of the small pot.,images/step629.camera_0.png,['The small pot is to the left of the yellow bowl.'],[4995]
The green cup is to the left of the pink bowl.,images/step134.camera_0.png,['The pink bowl is to the left of the green cup.'],[6136]
The green cup is to the right of the yellow bowl.,images/step639.camera_0.png,['The yellow bowl is to the right of the green cup.'],[2003]
The small pot is behind the yellow bowl.,images/step587.camera_0.png,['The yellow bowl is behind the small pot.'],[6383]
The yellow bowl is to the right of the pink bowl.,images/step310.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[7262]
The green cup is to the left of the yellow bowl.,images/step268.camera_0.png,['The yellow bowl is to the left of the green cup.'],[5909]
The small pot is to the left of the green cup.,images/step735.camera_0.png,['The green cup is to the left of the small pot.'],[3664]
The yellow bowl is to the right of the green cup.,images/step751.camera_0.png,['The green cup is to the right of the yellow bowl.'],[3927]
The pink bowl is in front of the small pot.,images/step552.camera_0.png,['The small pot is in front of the pink bowl.'],[1888]
The yellow bowl is to the right of the small pot.,images/step428.camera_0.png,['The small pot is to the right of the yellow bowl.'],[1781]
The pink bowl is to the left of the green cup.,images/step716.camera_0.png,['The green cup is to the left of the pink bowl.'],[4965]
The pink bowl is to the left of the green cup.,images/step315.camera_0.png,['The green cup is to the left of the pink bowl.'],[6939]
The green cup is to the left of the small pot.,images/step39.camera_0.png,['The small pot is to the left of the green cup.'],[1285]
The yellow bowl is to the left of the pink bowl.,images/step319.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[1527]
The pink bowl is behind the green cup.,images/step241.camera_0.png,['The green cup is behind the pink bowl.'],[1972]
The yellow bowl is to the right of the green cup.,images/step640.camera_0.png,['The green cup is to the right of the yellow bowl.'],[5169]
The small pot is in front of the green cup.,images/step504.camera_0.png,['The green cup is in front of the small pot.'],[4541]
The pink bowl is to the left of the yellow bowl.,images/step765.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[2864]
The green cup is to the left of the pink bowl.,images/step664.camera_0.png,['The pink bowl is to the left of the green cup.'],[5599]
The yellow bowl is in front of the green cup.,images/step663.camera_0.png,['The green cup is in front of the yellow bowl.'],[3184]
The small pot is to the right of the green cup.,images/step4.camera_0.png,['The green cup is to the right of the small pot.'],[972]
The green cup is to the left of the small pot.,images/step72.camera_0.png,['The small pot is to the left of the green cup.'],[6615]
The green cup is behind the yellow bowl.,images/step287.camera_0.png,['The yellow bowl is behind the green cup.'],[2308]
The small pot is to the right of the pink bowl.,images/step128.camera_0.png,['The pink bowl is to the right of the small pot.'],[2821]
The green cup is to the right of the small pot.,images/step197.camera_0.png,['The small pot is to the right of the green cup.'],[169]
The pink bowl is to the left of the green cup.,images/step488.camera_0.png,['The green cup is to the left of the pink bowl.'],[7071]
The small pot is to the left of the pink bowl.,images/step107.camera_0.png,['The pink bowl is to the left of the small pot.'],[68]
The small pot is to the left of the pink bowl.,images/step282.camera_0.png,['The pink bowl is to the left of the small pot.'],[3957]
The green cup is behind the small pot.,images/step497.camera_0.png,['The small pot is behind the green cup.'],[1725]
The pink bowl is to the left of the small pot.,images/step215.camera_0.png,['The small pot is to the left of the pink bowl.'],[750]
The yellow bowl is to the left of the pink bowl.,images/step247.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[6650]
The pink bowl is to the right of the small pot.,images/step399.camera_0.png,['The small pot is to the right of the pink bowl.'],[1747]
The green cup is to the right of the yellow bowl.,images/step651.camera_0.png,['The yellow bowl is to the right of the green cup.'],[3675]
The green cup is to the left of the small pot.,images/step55.camera_0.png,['The small pot is to the left of the green cup.'],[7026]
The small pot is to the left of the pink bowl.,images/step356.camera_0.png,['The pink bowl is to the left of the small pot.'],[7588]
The small pot is to the right of the pink bowl.,images/step261.camera_0.png,['The pink bowl is to the right of the small pot.'],[3086]
The small pot is to the left of the green cup.,images/step715.camera_0.png,['The green cup is to the left of the small pot.'],[4338]
The yellow bowl is behind the green cup.,images/step797.camera_0.png,['The green cup is behind the yellow bowl.'],[7080]
The yellow bowl is in front of the green cup.,images/step273.camera_0.png,['The green cup is in front of the yellow bowl.'],[5335]
The green cup is to the left of the small pot.,images/step140.camera_0.png,['The small pot is to the left of the green cup.'],[6678]
The green cup is to the right of the pink bowl.,images/step564.camera_0.png,['The pink bowl is to the right of the green cup.'],[253]
The small pot is to the left of the pink bowl.,images/step758.camera_0.png,['The pink bowl is to the left of the small pot.'],[624]
The green cup is to the left of the small pot.,images/step171.camera_0.png,['The small pot is to the left of the green cup.'],[3426]
The green cup is to the left of the pink bowl.,images/step498.camera_0.png,['The pink bowl is to the left of the green cup.'],[1520]
The yellow bowl is to the right of the small pot.,images/step203.camera_0.png,['The small pot is to the right of the yellow bowl.'],[1099]
The pink bowl is to the left of the yellow bowl.,images/step138.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[5395]
The pink bowl is to the right of the green cup.,images/step42.camera_0.png,['The green cup is to the right of the pink bowl.'],[5462]
The green cup is to the right of the pink bowl.,images/step749.camera_0.png,['The pink bowl is to the right of the green cup.'],[3325]
The pink bowl is to the left of the small pot.,images/step205.camera_0.png,['The small pot is to the left of the pink bowl.'],[2752]
The small pot is to the right of the yellow bowl.,images/step469.camera_0.png,['The yellow bowl is to the right of the small pot.'],[6848]
The green cup is to the right of the pink bowl.,images/step291.camera_0.png,['The pink bowl is to the right of the green cup.'],[70]
The small pot is to the left of the pink bowl.,images/step793.camera_0.png,['The pink bowl is to the left of the small pot.'],[6374]
The pink bowl is to the left of the yellow bowl.,images/step238.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[763]
The small pot is to the right of the green cup.,images/step207.camera_0.png,['The green cup is to the right of the small pot.'],[5128]
The yellow bowl is to the right of the pink bowl.,images/step440.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[699]
The green cup is to the right of the yellow bowl.,images/step92.camera_0.png,['The yellow bowl is to the right of the green cup.'],[3407]
The small pot is to the right of the pink bowl.,images/step473.camera_0.png,['The pink bowl is to the right of the small pot.'],[3519]
The small pot is to the right of the pink bowl.,images/step288.camera_0.png,['The pink bowl is to the right of the small pot.'],[3189]
The pink bowl is to the right of the yellow bowl.,images/step409.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[536]
The pink bowl is to the left of the green cup.,images/step234.camera_0.png,['The green cup is to the left of the pink bowl.'],[5641]
The small pot is to the right of the green cup.,images/step569.camera_0.png,['The green cup is to the right of the small pot.'],[1005]
The small pot is behind the pink bowl.,images/step318.camera_0.png,['The pink bowl is behind the small pot.'],[4924]
The yellow bowl is to the right of the small pot.,images/step101.camera_0.png,['The small pot is to the right of the yellow bowl.'],[1879]
The yellow bowl is to the left of the small pot.,images/step789.camera_0.png,['The small pot is to the left of the yellow bowl.'],[4324]
The pink bowl is to the left of the small pot.,images/step696.camera_0.png,['The small pot is to the left of the pink bowl.'],[4779]
The yellow bowl is to the left of the small pot.,images/step533.camera_0.png,['The small pot is to the left of the yellow bowl.'],[652]
The small pot is to the right of the pink bowl.,images/step133.camera_0.png,['The pink bowl is to the right of the small pot.'],[3919]
The small pot is to the left of the pink bowl.,images/step296.camera_0.png,['The pink bowl is to the left of the small pot.'],[6371]
The small pot is to the right of the yellow bowl.,images/step461.camera_0.png,['The yellow bowl is to the right of the small pot.'],[6428]
The green cup is to the left of the pink bowl.,images/step93.camera_0.png,['The pink bowl is to the left of the green cup.'],[3976]
The yellow bowl is to the right of the small pot.,images/step358.camera_0.png,['The small pot is to the right of the yellow bowl.'],[5132]
The yellow bowl is to the right of the pink bowl.,images/step749.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[1699]
The pink bowl is to the left of the small pot.,images/step389.camera_0.png,['The small pot is to the left of the pink bowl.'],[6677]
The green cup is to the left of the yellow bowl.,images/step237.camera_0.png,['The yellow bowl is to the left of the green cup.'],[7727]
The yellow bowl is to the left of the pink bowl.,images/step791.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[7175]
The small pot is to the right of the pink bowl.,images/step163.camera_0.png,['The pink bowl is to the right of the small pot.'],[909]
The yellow bowl is to the right of the pink bowl.,images/step449.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[4032]
The pink bowl is to the right of the small pot.,images/step602.camera_0.png,['The small pot is to the right of the pink bowl.'],[2873]
The yellow bowl is to the right of the pink bowl.,images/step442.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[1242]
The small pot is to the right of the pink bowl.,images/step747.camera_0.png,['The pink bowl is to the right of the small pot.'],[3723]
The pink bowl is behind the yellow bowl.,images/step371.camera_0.png,['The yellow bowl is behind the pink bowl.'],[2630]
The pink bowl is to the left of the green cup.,images/step535.camera_0.png,['The green cup is to the left of the pink bowl.'],[3563]
The yellow bowl is to the left of the green cup.,images/step513.camera_0.png,['The green cup is to the left of the yellow bowl.'],[4224]
The yellow bowl is to the right of the green cup.,images/step13.camera_0.png,['The green cup is to the right of the yellow bowl.'],[5670]
The pink bowl is to the right of the green cup.,images/step111.camera_0.png,['The green cup is to the right of the pink bowl.'],[5888]
The pink bowl is to the left of the small pot.,images/step492.camera_0.png,['The small pot is to the left of the pink bowl.'],[6135]
The green cup is in front of the pink bowl.,images/step400.camera_0.png,['The pink bowl is in front of the green cup.'],[6899]
The small pot is to the right of the yellow bowl.,images/step115.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4399]
The yellow bowl is in front of the green cup.,images/step374.camera_0.png,['The green cup is in front of the yellow bowl.'],[6329]
The green cup is to the left of the pink bowl.,images/step540.camera_0.png,['The pink bowl is to the left of the green cup.'],[1453]
The yellow bowl is to the left of the green cup.,images/step303.camera_0.png,['The green cup is to the left of the yellow bowl.'],[4303]
The green cup is behind the small pot.,images/step176.camera_0.png,['The small pot is behind the green cup.'],[1035]
The yellow bowl is behind the green cup.,images/step762.camera_0.png,['The green cup is behind the yellow bowl.'],[6289]
The yellow bowl is to the left of the small pot.,images/step757.camera_0.png,['The small pot is to the left of the yellow bowl.'],[3756]
The pink bowl is to the right of the yellow bowl.,images/step777.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[4741]
The yellow bowl is in front of the small pot.,images/step133.camera_0.png,['The small pot is in front of the yellow bowl.'],[3488]
The yellow bowl is to the left of the green cup.,images/step317.camera_0.png,['The green cup is to the left of the yellow bowl.'],[6519]
The green cup is to the right of the small pot.,images/step240.camera_0.png,['The small pot is to the right of the green cup.'],[3774]
The green cup is to the left of the pink bowl.,images/step742.camera_0.png,['The pink bowl is to the left of the green cup.'],[3166]
The green cup is to the right of the small pot.,images/step158.camera_0.png,['The small pot is to the right of the green cup.'],[5849]
The green cup is to the left of the pink bowl.,images/step209.camera_0.png,['The pink bowl is to the left of the green cup.'],[2152]
The green cup is to the right of the yellow bowl.,images/step795.camera_0.png,['The yellow bowl is to the right of the green cup.'],[2387]
The green cup is to the left of the pink bowl.,images/step114.camera_0.png,['The pink bowl is to the left of the green cup.'],[4449]
The small pot is to the right of the yellow bowl.,images/step183.camera_0.png,['The yellow bowl is to the right of the small pot.'],[6219]
The yellow bowl is to the right of the small pot.,images/step453.camera_0.png,['The small pot is to the right of the yellow bowl.'],[3011]
The small pot is to the left of the yellow bowl.,images/step596.camera_0.png,['The yellow bowl is to the left of the small pot.'],[6063]
The small pot is to the right of the yellow bowl.,images/step264.camera_0.png,['The yellow bowl is to the right of the small pot.'],[3933]
The yellow bowl is to the right of the small pot.,images/step388.camera_0.png,['The small pot is to the right of the yellow bowl.'],[2039]
The green cup is behind the pink bowl.,images/step744.camera_0.png,['The pink bowl is behind the green cup.'],[3778]
The green cup is to the right of the small pot.,images/step793.camera_0.png,['The small pot is to the right of the green cup.'],[5038]
The green cup is to the left of the small pot.,images/step409.camera_0.png,['The small pot is to the left of the green cup.'],[4468]
The small pot is to the left of the pink bowl.,images/step549.camera_0.png,['The pink bowl is to the left of the small pot.'],[6926]
The pink bowl is behind the green cup.,images/step796.camera_0.png,['The green cup is behind the pink bowl.'],[17]
The pink bowl is to the left of the green cup.,images/step259.camera_0.png,['The green cup is to the left of the pink bowl.'],[3440]
The pink bowl is to the left of the green cup.,images/step616.camera_0.png,['The green cup is to the left of the pink bowl.'],[6674]
The green cup is to the left of the small pot.,images/step797.camera_0.png,['The small pot is to the left of the green cup.'],[2124]
The small pot is to the left of the pink bowl.,images/step375.camera_0.png,['The pink bowl is to the left of the small pot.'],[7446]
The green cup is to the left of the small pot.,images/step291.camera_0.png,['The small pot is to the left of the green cup.'],[2397]
The small pot is to the right of the yellow bowl.,images/step220.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4573]
The yellow bowl is to the left of the green cup.,images/step436.camera_0.png,['The green cup is to the left of the yellow bowl.'],[6027]
The pink bowl is to the right of the small pot.,images/step270.camera_0.png,['The small pot is to the right of the pink bowl.'],[429]
The yellow bowl is to the right of the small pot.,images/step450.camera_0.png,['The small pot is to the right of the yellow bowl.'],[7678]
The small pot is in front of the yellow bowl.,images/step11.camera_0.png,['The yellow bowl is in front of the small pot.'],[6759]
The green cup is to the right of the small pot.,images/step535.camera_0.png,['The small pot is to the right of the green cup.'],[5789]
The green cup is to the right of the small pot.,images/step568.camera_0.png,['The small pot is to the right of the green cup.'],[5318]
The green cup is to the left of the pink bowl.,images/step313.camera_0.png,['The pink bowl is to the left of the green cup.'],[2973]
The green cup is to the right of the pink bowl.,images/step597.camera_0.png,['The pink bowl is to the right of the green cup.'],[3121]
The pink bowl is to the right of the green cup.,images/step687.camera_0.png,['The green cup is to the right of the pink bowl.'],[2897]
The yellow bowl is to the right of the pink bowl.,images/step460.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[4984]
The green cup is to the left of the small pot.,images/step38.camera_0.png,['The small pot is to the left of the green cup.'],[4432]
The small pot is to the left of the green cup.,images/step402.camera_0.png,['The green cup is to the left of the small pot.'],[6914]
The small pot is to the left of the green cup.,images/step76.camera_0.png,['The green cup is to the left of the small pot.'],[611]
The small pot is to the left of the green cup.,images/step356.camera_0.png,['The green cup is to the left of the small pot.'],[821]
The small pot is to the right of the yellow bowl.,images/step87.camera_0.png,['The yellow bowl is to the right of the small pot.'],[6419]
The pink bowl is to the right of the green cup.,images/step699.camera_0.png,['The green cup is to the right of the pink bowl.'],[1789]
The pink bowl is to the left of the small pot.,images/step494.camera_0.png,['The small pot is to the left of the pink bowl.'],[3652]
The green cup is to the right of the pink bowl.,images/step285.camera_0.png,['The pink bowl is to the right of the green cup.'],[5986]
The pink bowl is to the left of the green cup.,images/step276.camera_0.png,['The green cup is to the left of the pink bowl.'],[3497]
The green cup is to the left of the pink bowl.,images/step692.camera_0.png,['The pink bowl is to the left of the green cup.'],[5505]
The small pot is to the right of the yellow bowl.,images/step560.camera_0.png,['The yellow bowl is to the right of the small pot.'],[3732]
The pink bowl is to the left of the small pot.,images/step547.camera_0.png,['The small pot is to the left of the pink bowl.'],[2619]
The small pot is to the left of the pink bowl.,images/step783.camera_0.png,['The pink bowl is to the left of the small pot.'],[2622]
The green cup is to the right of the yellow bowl.,images/step738.camera_0.png,['The yellow bowl is to the right of the green cup.'],[4742]
The green cup is to the left of the small pot.,images/step58.camera_0.png,['The small pot is to the left of the green cup.'],[3227]
The pink bowl is to the left of the green cup.,images/step74.camera_0.png,['The green cup is to the left of the pink bowl.'],[1092]
The pink bowl is to the left of the small pot.,images/step728.camera_0.png,['The small pot is to the left of the pink bowl.'],[416]
The pink bowl is to the left of the small pot.,images/step48.camera_0.png,['The small pot is to the left of the pink bowl.'],[1630]
The pink bowl is to the left of the yellow bowl.,images/step161.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[7073]
The small pot is to the left of the green cup.,images/step169.camera_0.png,['The green cup is to the left of the small pot.'],[4292]
The small pot is in front of the pink bowl.,images/step500.camera_0.png,['The pink bowl is in front of the small pot.'],[1396]
The green cup is to the right of the yellow bowl.,images/step775.camera_0.png,['The yellow bowl is to the right of the green cup.'],[5366]
The yellow bowl is to the left of the green cup.,images/step723.camera_0.png,['The green cup is to the left of the yellow bowl.'],[4912]
The small pot is in front of the yellow bowl.,images/step406.camera_0.png,['The yellow bowl is in front of the small pot.'],[7484]
The green cup is to the left of the yellow bowl.,images/step804.camera_0.png,['The yellow bowl is to the left of the green cup.'],[6739]
The small pot is to the right of the yellow bowl.,images/step155.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4038]
The yellow bowl is to the left of the pink bowl.,images/step297.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[6728]
The green cup is to the right of the pink bowl.,images/step436.camera_0.png,['The pink bowl is to the right of the green cup.'],[3644]
The pink bowl is to the right of the small pot.,images/step680.camera_0.png,['The small pot is to the right of the pink bowl.'],[107]
The green cup is behind the pink bowl.,images/step383.camera_0.png,['The pink bowl is behind the green cup.'],[4580]
The yellow bowl is to the left of the small pot.,images/step472.camera_0.png,['The small pot is to the left of the yellow bowl.'],[5651]
The pink bowl is in front of the yellow bowl.,images/step572.camera_0.png,['The yellow bowl is in front of the pink bowl.'],[4086]
The yellow bowl is to the left of the small pot.,images/step92.camera_0.png,['The small pot is to the left of the yellow bowl.'],[3713]
The green cup is to the right of the small pot.,images/step252.camera_0.png,['The small pot is to the right of the green cup.'],[4242]
The green cup is to the left of the small pot.,images/step139.camera_0.png,['The small pot is to the left of the green cup.'],[6554]
The pink bowl is in front of the yellow bowl.,images/step398.camera_0.png,['The yellow bowl is in front of the pink bowl.'],[5964]
The yellow bowl is in front of the pink bowl.,images/step309.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[7507]
The small pot is to the left of the yellow bowl.,images/step736.camera_0.png,['The yellow bowl is to the left of the small pot.'],[4250]
The pink bowl is to the left of the yellow bowl.,images/step751.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[2133]
The yellow bowl is to the left of the green cup.,images/step29.camera_0.png,['The green cup is to the left of the yellow bowl.'],[661]
The small pot is to the right of the yellow bowl.,images/step664.camera_0.png,['The yellow bowl is to the right of the small pot.'],[2965]
The small pot is to the left of the green cup.,images/step784.camera_0.png,['The green cup is to the left of the small pot.'],[351]
The yellow bowl is to the right of the pink bowl.,images/step375.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[7410]
The green cup is to the left of the pink bowl.,images/step192.camera_0.png,['The pink bowl is to the left of the green cup.'],[4906]
The yellow bowl is in front of the small pot.,images/step65.camera_0.png,['The small pot is in front of the yellow bowl.'],[5944]
The green cup is to the left of the pink bowl.,images/step689.camera_0.png,['The pink bowl is to the left of the green cup.'],[3913]
The green cup is to the left of the small pot.,images/step652.camera_0.png,['The small pot is to the left of the green cup.'],[7353]
The yellow bowl is behind the pink bowl.,images/step175.camera_0.png,['The pink bowl is behind the yellow bowl.'],[4752]
The green cup is to the left of the yellow bowl.,images/step445.camera_0.png,['The yellow bowl is to the left of the green cup.'],[1666]
The pink bowl is to the left of the green cup.,images/step154.camera_0.png,['The green cup is to the left of the pink bowl.'],[1506]
The small pot is to the right of the yellow bowl.,images/step567.camera_0.png,['The yellow bowl is to the right of the small pot.'],[532]
The yellow bowl is to the right of the small pot.,images/step753.camera_0.png,['The small pot is to the right of the yellow bowl.'],[2502]
The pink bowl is to the left of the yellow bowl.,images/step244.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[3277]
The small pot is to the left of the green cup.,images/step713.camera_0.png,['The green cup is to the left of the small pot.'],[6266]
The yellow bowl is to the right of the small pot.,images/step124.camera_0.png,['The small pot is to the right of the yellow bowl.'],[4572]
The green cup is to the right of the pink bowl.,images/step210.camera_0.png,['The pink bowl is to the right of the green cup.'],[4250]
The small pot is to the left of the green cup.,images/step436.camera_0.png,['The green cup is to the left of the small pot.'],[7698]
The pink bowl is to the left of the small pot.,images/step410.camera_0.png,['The small pot is to the left of the pink bowl.'],[1681]
The yellow bowl is to the right of the pink bowl.,images/step392.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[5531]
The yellow bowl is to the left of the pink bowl.,images/step503.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[3866]
The yellow bowl is in front of the green cup.,images/step150.camera_0.png,['The green cup is in front of the yellow bowl.'],[4777]
The green cup is to the right of the yellow bowl.,images/step733.camera_0.png,['The yellow bowl is to the right of the green cup.'],[6481]
The yellow bowl is to the left of the small pot.,images/step352.camera_0.png,['The small pot is to the left of the yellow bowl.'],[4630]
The green cup is to the right of the small pot.,images/step418.camera_0.png,['The small pot is to the right of the green cup.'],[7152]
The green cup is to the left of the small pot.,images/step14.camera_0.png,['The small pot is to the left of the green cup.'],[7552]
The small pot is behind the green cup.,images/step272.camera_0.png,['The green cup is behind the small pot.'],[6600]
The small pot is to the right of the green cup.,images/step330.camera_0.png,['The green cup is to the right of the small pot.'],[6021]
The yellow bowl is to the right of the green cup.,images/step348.camera_0.png,['The green cup is to the right of the yellow bowl.'],[4733]
The pink bowl is in front of the small pot.,images/step334.camera_0.png,['The small pot is in front of the pink bowl.'],[6655]
The green cup is behind the pink bowl.,images/step490.camera_0.png,['The pink bowl is behind the green cup.'],[5374]
The yellow bowl is to the right of the pink bowl.,images/step727.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[5490]
The green cup is to the right of the yellow bowl.,images/step360.camera_0.png,['The yellow bowl is to the right of the green cup.'],[7135]
The small pot is to the left of the green cup.,images/step475.camera_0.png,['The green cup is to the left of the small pot.'],[6465]
